feature,AGOP,PCA,MI,Permutation
number_of_elements,0.00019632668,0.0191759180371823,0.006988835470274111,0.014031495020323198
mean_atomic_mass,0.0008348611,0.006407659112440068,0.012591532716113664,0.009899738090324989
wtd_mean_atomic_mass,0.026878057,0.012247615733001331,0.010412848573416057,0.009264658789558358
gmean_atomic_mass,0.0005391026,0.010279156313246458,0.013334119526994578,0.007607207828146478
wtd_gmean_atomic_mass,0.012050938,0.014815373852625652,0.011299340473717775,0.008139541069924986
entropy_atomic_mass,0.00018526772,0.01803249950754034,0.015436113213952508,0.010931702221897698
wtd_entropy_atomic_mass,0.013693879,0.019300558329480723,0.011188520778361069,0.01329536156562911
range_atomic_mass,0.00200585,0.015366451111849597,0.013900329751633002,0.017864479297124383
wtd_range_atomic_mass,0.017532922,0.0108974161220633,0.00924454620814209,0.008491958712312354
std_atomic_mass,0.00080486125,0.012164933492619729,0.013031265348436304,0.013121556319417223
wtd_std_atomic_mass,0.008200112,0.013927380963470145,0.01037694342220629,0.02414502447434435
mean_fie,0.00045775855,0.007038301926864075,0.012393306046425056,0.008782064386202566
wtd_mean_fie,0.058091424,0.01596075824986901,0.012264126729953051,0.01036838063308345
gmean_fie,0.0006179334,0.002908710820731865,0.0117411765929934,0.009431732144122231
wtd_gmean_fie,0.08720145,0.014553912060264735,0.01109696987398187,0.010975878762372502
entropy_fie,0.00010188221,0.019287212893515596,0.013805834712941409,0.011137437428866697
wtd_entropy_fie,0.06574298,0.013532973341216718,0.0094496570301282,0.01151446006540435
range_fie,0.0013671455,0.02020304495807909,0.015305710229708874,0.020460236890567633
wtd_range_fie,0.11226703,0.01053641132351681,0.009857412362621006,0.015861366777157382
std_fie,0.00037858717,0.019144287532751797,0.01582155678888304,0.009610004768245908
wtd_std_fie,0.0010977443,0.020139663759330084,0.01330054753604038,0.008671451674808948
mean_atomic_radius,0.000725972,0.0026156641317044895,0.011186681608211789,0.010147195970877826
wtd_mean_atomic_radius,0.0659712,0.014829108667184227,0.011668768723145729,0.015610376400512308
gmean_atomic_radius,0.00037919063,0.009700455226708133,0.012589623484804795,0.008675425346675125
wtd_gmean_atomic_radius,0.031177854,0.017050573226465547,0.01326561271880286,0.009303367801123844
entropy_atomic_radius,0.00010059246,0.018890411965388338,0.015506050127988613,0.01099687302758302
wtd_entropy_atomic_radius,0.009593744,0.02015219869395455,0.011030377829084819,0.009373727871767807
range_atomic_radius,0.003113301,0.020143431763838128,0.013933296640126313,0.03385747846558099
wtd_range_atomic_radius,0.02278448,0.012505036728552374,0.008096079933543214,0.011632359754665074
std_atomic_radius,0.0009497605,0.01842207929266029,0.014247346875271332,0.011173439627041386
wtd_std_atomic_radius,0.00825994,0.01977461450045699,0.012319999659149636,0.03866643534523949
mean_Density,0.0007739605,0.013385282784347528,0.01311220962477745,0.00887913547966102
wtd_mean_Density,0.015209565,0.016142857898927096,0.01091517618594168,0.014942303619485496
gmean_Density,8.30113e-05,0.018533195564332625,0.01552134149496921,0.007435140382153667
wtd_gmean_Density,0.00015799345,0.019189377534128454,0.014147115769459642,0.0076170728140040125
entropy_Density,0.00050320034,0.014983729461179195,0.014970664932520307,0.010610973488300928
wtd_entropy_Density,0.02843334,0.014273836190607172,0.008275157612736431,0.035899090739247796
range_Density,0.00017607509,0.009323629474410948,0.014704382822704755,0.007893687853765938
wtd_range_Density,0.008719282,0.011598176009824903,0.010334354013043934,0.007719178223038902
std_Density,0.0011745704,0.005095175805565445,0.013095684084202612,0.011401726098005622
wtd_std_Density,0.0049645733,0.008803034232869359,0.011121328930278786,0.009778502357983542
mean_ElectronAffinity,0.00014905099,0.0007024667568097445,0.013510601990317145,0.008043843679931042
wtd_mean_ElectronAffinity,0.020654993,0.007671566354599258,0.010806305529378104,0.01237363653404699
gmean_ElectronAffinity,0.0005898375,0.006788575716541917,0.014045933877147913,0.011085433513427162
wtd_gmean_ElectronAffinity,0.03154696,0.0017989566143697907,0.010040281187775849,0.011818510034456574
entropy_ElectronAffinity,0.00025996382,0.01724507856491572,0.01499485533002499,0.009033185582446385
wtd_entropy_ElectronAffinity,0.06359189,0.011881262837584429,0.007942837703295935,0.018081876188897738
range_ElectronAffinity,0.00012213162,0.012824287838528906,0.015256196597665628,0.007222536167168171
wtd_range_ElectronAffinity,0.06989341,0.008610440349263216,0.011612915542610533,0.009348805727425582
std_ElectronAffinity,0.001175655,0.011289275832463818,0.014767230413469898,0.014491551076061409
wtd_std_ElectronAffinity,0.0090120565,0.012608348490320857,0.012299230017179667,0.020432644598302258
mean_FusionHeat,0.00021723071,0.011592903045676532,0.013629847603677157,0.005416500194498458
wtd_mean_FusionHeat,0.0014078827,0.011963865051078873,0.013103347684258814,0.005601281040120907
gmean_FusionHeat,4.0132305e-05,0.01420766758421584,0.014423480383064133,0.0055633336398285115
wtd_gmean_FusionHeat,0.0004974837,0.014148513789218789,0.013728664716140192,0.005768202425599822
entropy_FusionHeat,0.00015376521,0.01652866722832152,0.014884341990329685,0.011324647414534492
wtd_entropy_FusionHeat,0.013533745,0.017608170346341826,0.0101482224342773,0.011985249817600312
range_FusionHeat,0.0001842666,0.00042136076530611396,0.013418367826938697,0.005260081845891202
wtd_range_FusionHeat,0.00096032035,0.009395180864579673,0.012334275757231696,0.004548406663753666
std_FusionHeat,0.00016968607,0.0025633088890963654,0.012984020152257886,0.004578446379295045
wtd_std_FusionHeat,0.0006928132,0.0012860078173358644,0.012415291247894214,0.005921403655551677
mean_ThermalConductivity,0.00013662218,0.0065357109436775885,0.014560947183777906,0.009319949769547494
wtd_mean_ThermalConductivity,0.037700165,0.0037216646914123627,0.011101300960875455,0.0224473204406823
gmean_ThermalConductivity,5.224786e-05,0.013499800942581599,0.01399670825401914,0.006277782502585999
wtd_gmean_ThermalConductivity,0.0002760303,0.013190665052840478,0.012387639406727812,0.006378689243491817
entropy_ThermalConductivity,0.00044261094,0.0041609778443973235,0.012473445700810196,0.011282546417553435
wtd_entropy_ThermalConductivity,0.018159892,0.0001583828252089318,0.008183385874952254,0.023227972186392724
range_ThermalConductivity,5.0907653e-05,0.01765689394916347,0.012970923909727644,0.009925139914949544
wtd_range_ThermalConductivity,0.03398185,0.007646088296333281,0.012108199410111244,0.012599174564596007
std_ThermalConductivity,0.0001136781,0.016568962810227197,0.015513031391224412,0.010830700464307777
wtd_std_ThermalConductivity,0.008980122,0.01711542656133454,0.013820728634325215,0.015788712881736472
mean_Valence,0.000113989074,0.01724250893450678,0.010440096562635167,0.00866055592805465
wtd_mean_Valence,0.0016290304,0.017797049622426415,0.014938728702292655,0.014212218924426798
gmean_Valence,0.00010832527,0.017431190469777175,0.013273122437955516,0.00838412296238081
wtd_gmean_Valence,0.0011824332,0.018061979788827058,0.015115658431246615,0.012452863847268717
entropy_Valence,3.303655e-05,0.019562524067653606,0.014392823528560791,0.009826808111836862
wtd_entropy_Valence,0.027275654,0.01922132585690543,0.011211765686025861,0.011173763217151026
range_Valence,0.00018349817,0.003171518279749624,0.0023360063934560805,0.01150129903102396
wtd_range_Valence,0.017764788,0.013296113780945518,0.010891578885316633,0.007220767891382526
std_Valence,0.000808147,0.0009707109003289419,0.010490838339698653,0.015747428182517537
wtd_std_Valence,0.02265595,0.0005224910503683894,0.010564875863637581,0.04962337975272765
